datetime,Open,High,Low,Close,Volume
20130301,339.84,340.83,336.5,339.73,0
20130304,337.93,340.08,337.51,339.58,0
20130305,341.6,347.23,341.36,346.5,0
20130306,346.23,349.08,346.13,347.36,0
20130307,348.17,349.43,347.48,347.87,0
20130308,349.3,352.94,349.15,352.43,0
20130311,351.29,351.95,350.76,351.56,0
20130312,351.19,352.91,351.16,352.06,0
20130313,351.56,352.18,350.83,352.02,0
20130314,353.11,355.85,352.6,355.85,0
20130315,356.12,356.13,352.67,353.58,0
20130318,349.0,353.32,348.78,353.01,0
20130319,352.23,354.33,350.54,352.05,0
20130320,354.03,355.33,353.34,354.37,0
20130321,353.9,353.95,351.33,352.41,0
20130322,351.24,353.15,349.55,350.74,0
20130325,354.51,354.71,347.85,348.72,0
20130326,349.6,350.07,347.98,349.27,0
20130327,350.69,350.69,344.81,346.16,0
20130328,346.96,350.34,346.79,348.1,0
20130402,347.67,352.85,347.67,352.5,0
20130403,351.3,353.01,349.42,349.6,0
20130404,350.09,351.17,345.95,346.53,0
20130405,346.36,346.76,337.94,340.71,0
20130408,341.41,342.26,340.53,340.91,0
20130409,342.78,342.78,340.05,341.35,0
20130410,342.43,349.54,342.29,348.53,0
20130411,348.51,351.97,347.89,351.28,0
20130412,350.51,350.94,347.87,348.65,0
20130415,348.73,349.5,344.87,346.3,0
20130416,344.48,348.25,344.23,345.79,0
20130417,347.2,347.68,340.23,340.84,0
20130418,341.47,342.55,339.24,340.72,0
20130419,341.61,342.69,339.62,341.68,0
20130422,343.16,343.7,338.69,340.07,0
20130423,340.18,349.34,340.13,349.15,0
20130424,348.51,353.3,348.36,352.94,0
20130425,352.07,355.01,351.74,354.04,0
20130426,352.39,352.59,349.95,351.5,0
20130429,352.17,354.51,351.73,354.15,0
20130430,354.33,354.39,350.34,351.39,0
20130502,351.58,355.63,351.22,354.8,0
20130503,354.97,358.66,353.42,357.61,0
20130506,357.83,358.73,357.18,357.44,0
20130507,357.33,358.17,356.07,356.48,0
20130508,356.62,358.45,356.37,357.93,0
20130509,357.33,359.87,357.03,359.15,0
20130510,359.4,362.36,359.32,361.17,0
20130513,360.86,362.26,360.43,361.12,0
20130514,362.18,363.69,361.09,363.69,0
20130515,363.41,366.45,363.21,366.07,0
20130516,365.54,366.42,364.75,365.37,0
20130517,364.47,368.72,364.03,368.08,0
20130520,368.64,369.99,367.99,369.97,0
20130521,369.17,370.44,367.73,370.44,0
20130522,370.12,372.67,370.0,372.11,0
20130523,365.81,367.41,363.28,365.22,0
20130524,365.94,366.5,362.57,364.63,0
20130527,365.94,366.7,365.16,366.56,0
20130528,368.34,373.31,368.34,371.5,0
20130529,368.87,369.76,365.79,366.25,0
20130530,365.67,368.79,365.56,367.69,0
20130531,367.33,367.38,362.56,363.38,0
20130603,361.44,364.92,359.09,361.07,0
20130604,362.72,363.66,359.9,360.42,0
20130605,357.59,359.32,352.69,353.06,0
20130606,353.58,355.22,349.58,349.58,0
20130607,349.91,353.51,347.24,352.69,0
20130610,352.0,353.86,351.19,352.86,0
20130611,351.31,351.46,346.11,350.3,0
20130612,349.7,351.89,347.31,347.68,0
20130613,343.31,347.94,341.97,347.23,0
20130614,349.16,350.01,347.09,347.98,0
20130617,349.42,353.24,349.23,350.81,0
20130618,349.52,351.96,348.92,351.09,0
20130619,351.92,352.99,349.69,351.08,0
